Investment Focus,Program Type,Program,    Amount    ,Amount Type,Date Allocated,As of Date
City Operations,City Operations,"Administrative Oversight, Compliance & Outreach Efforts",1905888,Actual Spend Amount,6/8/2021,12/31/2024
City Operations,City Operations,"Administrative Oversight, Compliance & Outreach Efforts",1917403,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Affordable Housing and Homelessness,Affordable Housing Program,1814023,Actual Spend Amount,6/7/2022,12/31/2024
Community Investment,Affordable Housing and Homelessness,Affordable Housing Program,16000000,Budgeted Amount,6/7/2022,12/31/2024
Community Investment,Neighborhood Sustainability,After-School Grant for Phoenix Schools,601463,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Neighborhood Sustainability,After-School Grant for Phoenix Schools,601464,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Neighborhood Sustainability,Airport Childcare Facility,2449958,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Neighborhood Sustainability,Airport Childcare Facility,5000000,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Neighborhood Sustainability,Area Agency on Aging's Goods2HOME,1923290,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Neighborhood Sustainability,Area Agency on Aging's Goods2HOME,2000000,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Workforce,Artists to Work,761983,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Workforce,Artists to Work,1000000,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Workforce,Arts and Culture Internship Program,487482,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Workforce,Arts and Culture Internship Program,500000,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Workforce,Arts Career Advancement Grants,500000,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Workforce,Arts Career Advancement Grants,500000,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Better Health & Community Outcomes,Better Health & Community Outcomes,16614644,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Better Health & Community Outcomes,Better Health & Community Outcomes,16614644,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Neighborhood Sustainability,Bus Card Subsidy Program,1000000,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Neighborhood Sustainability,Bus Card Subsidy Program,1000000,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Affordable Housing and Homelessness,CASS Haven Project,712847,Actual Spend Amount,11/15/2023,12/31/2024
Community Investment,Affordable Housing and Homelessness,CASS Haven Project,712847,Budgeted Amount,11/15/2023,12/31/2024
Community Investment,Workforce,CED Support Staff,294018,Actual Spend Amount,6/7/2022,12/31/2024
Community Investment,Workforce,CED Support Staff,294018,Budgeted Amount,6/7/2022,12/31/2024
Community Investment,Education,College Depot Assistance for Students,946690,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Education,College Depot Assistance for Students,1096690,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Affordable Housing and Homelessness,Community Land Trust Program,2187000,Actual Spend Amount,6/7/2022,12/31/2024
Community Investment,Affordable Housing and Homelessness,Community Land Trust Program,5000000,Budgeted Amount,6/7/2022,12/31/2024
Community Investment,Affordable Housing and Homelessness,Cooling Pavillion,153062,Actual Spend Amount,2/21/2024,12/31/2024
Community Investment,Affordable Housing and Homelessness,Cooling Pavillion,270000,Budgeted Amount,2/21/2024,12/31/2024
City Operations,City Operations,COVID-19 Health Care Expenses,21198769,Actual Spend Amount,6/7/2022,12/31/2024
City Operations,City Operations,COVID-19 Health Care Expenses,21198769,Budgeted Amount,6/7/2022,12/31/2024
Community Investment,Education,Digital Divide Program,3465143,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Education,Digital Divide Program,3482143,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Education,Early Childhood Education Expansion,3897522,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Education,Early Childhood Education Expansion,3897522,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Education,Early Literacy Tutoring Support,296488,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Education,Early Literacy Tutoring Support,296488,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Phoenix Resilient Food System,Economic Development & Innovation,5720728,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Phoenix Resilient Food System,Economic Development & Innovation,5720728,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Neighborhood Sustainability,Edison Impact Hub,1034881,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Neighborhood Sustainability,Edison Impact Hub,5000000,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Phoenix Resilient Food System,Equity & Inclusion,3230689,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Phoenix Resilient Food System,Equity & Inclusion,3236588,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Neighborhood Sustainability,Family Assistance Resource,11997000,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Neighborhood Sustainability,Family Assistance Resource,11997000,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Neighborhood Sustainability,Financial Assistance for Phoenix Refugee & Asylee Community,5956831,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Neighborhood Sustainability,Financial Assistance for Phoenix Refugee & Asylee Community,6373980,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Phoenix Resilient Food System,Food Banks & Pantries Support,1432500,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Phoenix Resilient Food System,Food Banks & Pantries Support,1432500,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Neighborhood Sustainability,Heat Relief Outreach Program,431089,Actual Spend Amount,5/3/2023,12/31/2024
Community Investment,Neighborhood Sustainability,Heat Relief Outreach Program,443145,Budgeted Amount,5/3/2023,12/31/2024
Community Investment,Affordable Housing and Homelessness,Heat Response/Temporary Shelter,12887757,Actual Spend Amount,4/12/2022,12/31/2024
Community Investment,Affordable Housing and Homelessness,Heat Response/Temporary Shelter,19352581,Budgeted Amount,4/12/2022,12/31/2024
Community Investment,Affordable Housing and Homelessness,Homeless Services - Central Arizona Shelter Services (CASS),1068000,Actual Spend Amount,2/21/2024,12/31/2024
Community Investment,Affordable Housing and Homelessness,Homeless Services - Central Arizona Shelter Services (CASS),1521000,Budgeted Amount,2/21/2024,12/31/2024
Community Investment,Affordable Housing and Homelessness,Homelessness & Mental Health,9255542,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Affordable Housing and Homelessness,Homelessness & Mental Health,10220561,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Affordable Housing and Homelessness,Homelessness Projects,27276052,Actual Spend Amount,6/7/2022,12/31/2024
Community Investment,Affordable Housing and Homelessness,Homelessness Projects,49015154,Budgeted Amount,6/7/2022,12/31/2024
Community Investment,Affordable Housing and Homelessness,Homelessness Support Services,200039,Actual Spend Amount,11/15/2024,12/31/2024
Community Investment,Affordable Housing and Homelessness,Homelessness Support Services,382131,Budgeted Amount,11/15/2024,12/31/2024
Community Investment,Affordable Housing and Homelessness,Homelessness Youth Reunification Program,320932,Actual Spend Amount,6/7/2022,12/31/2024
Community Investment,Affordable Housing and Homelessness,Homelessness Youth Reunification Program,356984,Budgeted Amount,6/7/2022,12/31/2024
Community Investment,Affordable Housing and Homelessness,Hotel Acquisition and Renovation,10221239,Actual Spend Amount,12/14/2022,12/31/2024
Community Investment,Affordable Housing and Homelessness,Hotel Acquisition and Renovation,14162972,Budgeted Amount,12/14/2022,12/31/2024
City Operations,"Infrastructure, Technology, & Capital Needs","Infrastructure, Technology, & Capital Needs",11666019,Actual Spend Amount,6/8/2021,12/31/2024
City Operations,City Operations,"Infrastructure, Technology, & Capital Needs",23000000,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Affordable Housing and Homelessness,Justa Center,175804,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Affordable Housing and Homelessness,Justa Center,175804,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Education,Library Bookmobile for Underserved Areas,527438,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Education,Library Bookmobile for Underserved Areas,601082,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Education,Library Hotspot Lending Program,447872,Actual Spend Amount,6/7/2022,12/31/2024
Community Investment,Education,Library Hotspot Lending Program,636158,Budgeted Amount,6/7/2022,12/31/2024
Community Investment,Workforce,"Library Technology, Capital, & Staff Support",1299818,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Workforce,"Library Technology, Capital, & Staff Support",4466341,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Phoenix Resilient Food System,Local Food Consumption/ Production,1958040,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Phoenix Resilient Food System,Local Food Consumption/ Production,2098911,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Phoenix Resilient Food System,Meals that Work,632697,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Phoenix Resilient Food System,Meals that Work,632697,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Neighborhood Sustainability,Memory Café Program,1137769,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Neighborhood Sustainability,Memory Café Program,1182354,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Affordable Housing and Homelessness,Mercy House Contract, $-   ,Actual Spend Amount,8/1/2024,12/31/2024
Community Investment,Affordable Housing and Homelessness,Mercy House Contract,538000,Budgeted Amount,8/1/2024,12/31/2024
Community Investment,Workforce,Micro & Small Business Assistance Programs,7993258,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Workforce,Micro & Small Business Assistance Programs,7993258,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Workforce,Mobile Career Unit,372575,Actual Spend Amount,6/7/2022,12/31/2024
Community Investment,Workforce,Mobile Career Unit,380000,Budgeted Amount,6/7/2022,12/31/2024
Community Investment,Workforce,Nonprofit Arts & Culture Stabilization Grants,2750000,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Workforce,Nonprofit Arts & Culture Stabilization Grants,2750000,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Phoenix Resilient Food System,Outreach & Support Staff,625345,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Phoenix Resilient Food System,Outreach & Support Staff,741305,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Affordable Housing and Homelessness,Overnight Summer Heat Respite,1438622,Actual Spend Amount,11/15/2023,12/31/2024
Community Investment,Affordable Housing and Homelessness,Overnight Summer Heat Respite,2420744,Budgeted Amount,11/15/2023,12/31/2024
Community Investment,Neighborhood Sustainability,Parks Activation Grants Program,495774,Actual Spend Amount,2/1/2023,12/31/2024
Community Investment,Neighborhood Sustainability,Parks Activation Grants Program,496771,Budgeted Amount,2/1/2023,12/31/2024
Community Investment,Neighborhood Sustainability,Parsons Center for Health and Wellness - Southwest Center for HIV and Aids Contract,1000000,Actual Spend Amount,11/15/2023,12/31/2024
Community Investment,Neighborhood Sustainability,Parsons Center for Health and Wellness - Southwest Center for HIV and Aids Contract,1000000,Budgeted Amount,11/15/2023,12/31/2024
Community Investment,Workforce,Personnel/Technical Assistance/ Professional Development Programs,239001,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Workforce,Personnel/Technical Assistance/ Professional Development Programs,250000,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Neighborhood Sustainability,Phoenix Parks Improvements,315553,Actual Spend Amount,6/7/2022,12/31/2024
Community Investment,Neighborhood Sustainability,Phoenix Parks Improvements,2900000,Budgeted Amount,6/7/2022,12/31/2024
Community Investment,Workforce,PHXWorks at Burton Barr & Ocotillo,46870,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Workforce,PHXWorks at Burton Barr & Ocotillo,600000,Budgeted Amount,6/8/2021,12/31/2024
City Operations,PPE/Heat Relief,PPE/Heat Relief,599952,Actual Spend Amount,6/8/2021,12/31/2024
City Operations,City Operations,PPE/Heat Relief,599952,Budgeted Amount,6/8/2021,12/31/2024
City Operations,Premium Pay,Premium Pay,21073250,Actual Spend Amount,6/8/2021,12/31/2024
City Operations,City Operations,Premium Pay,21073250,Budgeted Amount,12/15/2021,12/31/2024
Community Investment,Neighborhood Sustainability,Residential Tree Equity Accelerator & Trees and Shade for Schools,2841283,Actual Spend Amount,6/7/2022,12/31/2024
Community Investment,Neighborhood Sustainability,Residential Tree Equity Accelerator & Trees and Shade for Schools,5500000,Budgeted Amount,6/7/2022,12/31/2024
Community Investment,Phoenix Resilient Food System,Resilient Food System,243333,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Phoenix Resilient Food System,Resilient Food System,243333,Budgeted Amount,6/8/2021,12/31/2024
City Operations,Revenue Replacement,Revenue Replacement,20000000,Actual Spend Amount,6/8/2021,12/31/2024
City Operations,City Operations,Revenue Replacement,20000000,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Neighborhood Sustainability,Shade Structures,298328,Actual Spend Amount,6/7/2022,12/31/2024
Community Investment,Neighborhood Sustainability,Shade Structures,2452322,Budgeted Amount,6/7/2022,12/31/2024
Community Investment,Workforce,Small Business Workforce Program,1948021,Actual Spend Amount,6/8/2021,12/31/2024
Community Investment,Workforce,Small Business Workforce Program,2000000,Budgeted Amount,6/8/2021,12/31/2024
Community Investment,Workforce,St. Joseph the Worker's Workforce Village Program,1423864,Actual Spend Amount,6/7/2022,12/31/2024
Community Investment,Workforce,St. Joseph the Worker's Workforce Village Program,1544000,Budgeted Amount,6/7/2022,12/31/2024
